
================================================================
  HSLM Training — Hybrid Symbolic Language Model
  ~1.95M ternary parameters, ~390KB
  Autograd + STE quantization + AdamW
================================================================
[1/4] Initializing model...
       Params: 1952262, Memory: 1872KB
[2/4] Loading training data...
       File: data/tinystories/real_tinystories.txt
       Loaded 100000 stories, 5462458 tokens
[3/4] Initializing trainer...
       LR: 0.000300 → 0.0000010 (cosine), Steps: 100000, Batch: 128×1=128, Ctx: 27, Warmup: 2000, Opt: LAMB
       Label smoothing: 0.10
       WD: 0.100 (cosine, disable at 50%)
       Consciousness: adaptive threshold 0.15 -> phi^-1 (warmup 10K steps)
       Full STE backprop: 1952991 trainable params (100%%)
       [RESUME] Loaded checkpoint + optimizer state: data/checkpoints_v13_lamb128/hslm_step_60000.bin (step 60000)
       Parallel: 6 workers (SIMD + threading)
[4/4] Training...

Step     | Loss     | AvgL10   | PPL      | LR       | C-Ratio  | Tok/s
   73200 |   5.8199 |   5.7854 |   336.95 | 0.000077 |   0.0000 |  14338
   73300 |   5.6534 |   5.7776 |   285.27 | 0.000077 |   0.0000 |  14343
   73400 |   5.9850 |   5.7990 |   397.41 | 0.000076 |   0.0000 |  14350
   73500 |   5.8468 |   5.7527 |   346.14 | 0.000076 |   0.0000 |  14361
   73600 |   5.8817 |   5.8108 |   358.43 | 0.000076 |   0.0000 |  14372
   73700 |   5.6988 |   5.7654 |   298.51 | 0.000075 |   0.0000 |  14383
   73800 |   5.6121 |   5.8071 |   273.70 | 0.000075 |   0.0000 |  14394
   73900 |   5.6719 |   5.7533 |   290.59 | 0.000075 |   0.0000 |  14398
   74000 |   5.6885 |   5.7279 |   295.44 | 0.000074 |   0.0000 |  14395
   74100 |   5.5340 |   5.7187 |   253.15 | 0.000074 |   0.0000 |  14393
   74200 |   5.7849 |   5.7925 |   325.36 | 0.000074 |   0.0000 |  14392
   74300 |   5.6833 |   5.7413 |   293.91 | 0.000073 |   0.0000 |  14386
   74400 |   5.7954 |   5.8046 |   328.79 | 0.000073 |   0.0000 |  14377
   74500 |   5.8059 |   5.7500 |   332.26 | 0.000073 |   0.0000 |  14364
   74600 |   5.7039 |   5.7520 |   300.03 | 0.000072 |   0.0000 |  14354
   74700 |   5.7790 |   5.8088 |   323.42 | 0.000072 |   0.0000 |  14347
   74800 |   5.7779 |   5.7761 |   323.07 | 0.000072 |   0.0000 |  14347
   74900 |   5.7743 |   5.7570 |   321.92 | 0.000071 |   0.0000 |  14354
   75000 |   5.6792 |   5.7734 |   292.71 | 0.000071 |   0.0000 |  14354
   75100 |   5.7392 |   5.7663 |   310.80 | 0.000071 |   0.0000 |  14359
   75200 |   5.9794 |   5.7814 |   395.21 | 0.000070 |   0.0000 |  14360
   75300 |   5.7974 |   5.7908 |   329.46 | 0.000070 |   0.0000 |  14348
   75400 |   5.6488 |   5.7354 |   283.94 | 0.000070 |   0.0000 |  14321
   75500 |   5.7163 |   5.7033 |   303.78 | 0.000070 |   0.0000 |  14302
   75600 |   5.9072 |   5.7710 |   367.68 | 0.000069 |   0.0000 |  14302
   75700 |   5.7735 |   5.6935 |   321.67 | 0.000069 |   0.0000 |  14304
   75800 |   5.6506 |   5.7336 |   284.45 | 0.000069 |   0.0000 |  14301
   75900 |   5.6207 |   5.7216 |   276.08 | 0.000068 |   0.0000 |  14303
   76000 |   5.8673 |   5.7903 |   353.31 | 0.000068 |   0.0000 |  14305
   76100 |   5.8317 |   5.7906 |   340.93 | 0.000068 |   0.0000 |  14294
   76200 |   5.7249 |   5.7996 |   306.40 | 0.000067 |   0.0000 |  14276
   76300 |   5.7451 |   5.7481 |   312.67 | 0.000067 |   0.0000 |  14268
   76400 |   5.6693 |   5.6797 |   289.84 | 0.000067 |   0.0000 |  14270
   76500 |   5.5868 |   5.7578 |   266.89 | 0.000067 |   0.0000 |  14274
   76600 |   5.7371 |   5.7431 |   310.17 | 0.000066 |   0.0000 |  14275
   76700 |   5.7620 |   5.8120 |   317.98 | 0.000066 |   0.0000 |  14262
   76800 |   5.7395 |   5.7499 |   310.92 | 0.000066 |   0.0000 |  14248
   76900 |   5.7765 |   5.7698 |   322.62 | 0.000065 |   0.0000 |  14233
   77000 |   5.7814 |   5.7650 |   324.20 | 0.000065 |   0.0000 |  14220
   77100 |   5.7219 |   5.7857 |   305.50 | 0.000065 |   0.0000 |  14198
   77200 |   5.9381 |   5.7469 |   379.22 | 0.000064 |   0.0000 |  14180
   77300 |   5.6852 |   5.7426 |   294.48 | 0.000064 |   0.0000 |  14168
   77400 |   5.7435 |   5.7502 |   312.14 | 0.000064 |   0.0000 |  14153
   77500 |   5.7671 |   5.7486 |   319.60 | 0.000064 |   0.0000 |  14134
   77600 |   5.7922 |   5.7248 |   327.72 | 0.000063 |   0.0000 |  14127
   77700 |   5.7026 |   5.7453 |   299.64 | 0.000063 |   0.0000 |  14124
   77800 |   5.7812 |   5.7749 |   324.15 | 0.000063 |   0.0000 |  14121
   77900 |   5.5936 |   5.7235 |   268.69 | 0.000062 |   0.0000 |  14120
   78000 |   5.7911 |   5.7641 |   327.39 | 0.000062 |   0.0000 |  14117
   78100 |   5.6393 |   5.7423 |   281.27 | 0.000062 |   0.0000 |  14116
   78200 |   5.7604 |   5.6949 |   317.49 | 0.000062 |   0.0000 |  14114
   78300 |   5.6415 |   5.7279 |   281.90 | 0.000061 |   0.0000 |  14113
   78400 |   5.7866 |   5.7688 |   325.89 | 0.000061 |   0.0000 |  14103
   78500 |   5.7061 |   5.7434 |   300.69 | 0.000061 |   0.0000 |  14102
   78600 |   5.8672 |   5.7707 |   353.25 | 0.000061 |   0.0000 |  14100
   78700 |   5.6829 |   5.7172 |   293.79 | 0.000060 |   0.0000 |  14079
   78800 |   5.9277 |   5.7923 |   375.29 | 0.000060 |   0.0000 |  14075
